offer_id;dealer_plz;dealer_city;dealer_street_house_nr;make;model;price_raw;gear_count_raw;battery_life_raw;frame_size_raw;wheel_size_raw;is_ebike;description_raw
94609371;8262;St. Gallen;Steinenvorstadt 109;Cannondale;Synapse Carbon 3;CHF 2150.-;9 Gänge;;47 cm;28 Zoll;0;Komfortables Endurance-Rennrad mit vibrationsdämpfendem Rahmen.
38663819;1374;Chur;Sonnenbergstrasse 99;Scott;Scale 940;CHF 1380.-;12 Gänge;;58 cm;27.5 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
76508607;5385;Zug;Sonnenbergstrasse 68;Focus;Jam² 6.8;CHF 3530.-;11 Gänge;151 km;55 cm;27.5 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
87881829;6437;Basel;Zieglerstrasse 140;Bulls;E-Stream EVO AM 4;CHF 3940.-;22 Gänge;139 km;56 cm;27.5 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
85813701;8082;Bern;Weberstrasse 51;Bulls;E-Stream EVO AM 4;CHF 4390.-;22 Gänge;145 km;54 cm;29 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
33759336;3919;Luzern;Sonnenbergstrasse 134;Haibike;Trekking 7;CHF 3250.-;11 Gänge;84 km;49 cm;29 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
79080068;2546;Zürich;Weberstrasse 37;Orbea;Gain D30;CHF 3470.-;12 Gänge;146 km;60 cm;28 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
46483585;1417;Baar;Zieglerstrasse 140;Orbea;Gain D30;CHF 2660.-;11 Gänge;120 km;55 cm;28 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
26363920;2024;Bern;Sonnenbergstrasse 1;Bulls;E-Stream EVO AM 4;CHF 1470.-;10 Gänge;128 km;57 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
99331559;6581;Zug;Sonnenbergstrasse 39;Cube;Kathmandu Hybrid Pro;CHF 4700.-;22 Gänge;93 km;55 cm;28 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
71079783;3519;Luzern;Kellerstrasse 104;Scott;Scale 940;CHF 2660.-;22 Gänge;;49 cm;29 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
99940980;4867;St. Gallen;Steinenvorstadt 122;Specialized;Turbo Vado 5.0;CHF 3730.-;22 Gänge;84 km;47 cm;28 Zoll;1;Leistungsstarkes E-Bike für Stadt und Tour mit integrierter Beleuchtung.
11348643;7341;Zürich;Zieglerstrasse 29;Trek;Domane SL 6;CHF 980.-;9 Gänge;;57 cm;27.5 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
10073020;3187;Chur;Zieglerstrasse 26;Focus;Jam² 6.8;CHF 3400.-;12 Gänge;145 km;47 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
39802931;3223;Winterthur;Steinenvorstadt 83;Trek;Domane SL 6;CHF 1580.-;12 Gänge;;57 cm;27.5 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
28449565;1959;Bern;Kellerstrasse 97;Cube;Kathmandu Hybrid Pro;CHF 3890.-;22 Gänge;112 km;58 cm;27.5 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
92194093;7663;Luzern;Weberstrasse 35;Cube;Kathmandu Hybrid Pro;CHF 3300.-;10 Gänge;100 km;48 cm;27.5 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
52157879;1514;Zug;Steinenvorstadt 142;Bulls;E-Stream EVO AM 4;CHF 4940.-;22 Gänge;154 km;56 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
80493023;2169;Zürich;Weberstrasse 100;Haibike;Trekking 7;CHF 2550.-;10 Gänge;98 km;57 cm;29 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
69114629;6359;Luzern;Steinenvorstadt 137;Haibike;Trekking 7;CHF 2720.-;9 Gänge;84 km;48 cm;28 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
48054921;2688;Aarau;Zieglerstrasse 139;Scott;Scale 940;CHF 1780.-;22 Gänge;;50 cm;27.5 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
19125696;1998;Luzern;Sonnenbergstrasse 94;Scott;Scale 940;CHF 2120.-;22 Gänge;;55 cm;28 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
46607983;6134;St. Gallen;Weberstrasse 15;Focus;Jam² 6.8;CHF 3240.-;12 Gänge;150 km;49 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
42728150;4221;Bern;Sonnenbergstrasse 75;Trek;Domane SL 6;CHF 2150.-;11 Gänge;;58 cm;29 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
38469455;6839;Chur;Sonnenbergstrasse 2;Bulls;E-Stream EVO AM 4;CHF 3040.-;10 Gänge;91 km;53 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
13339817;6842;Basel;Zieglerstrasse 123;Cannondale;Synapse Carbon 3;CHF 1290.-;10 Gänge;;53 cm;28 Zoll;0;Komfortables Endurance-Rennrad mit vibrationsdämpfendem Rahmen.
53127510;3804;Chur;Zieglerstrasse 36;Specialized;Turbo Vado 5.0;CHF 3100.-;9 Gänge;100 km;59 cm;29 Zoll;1;Leistungsstarkes E-Bike für Stadt und Tour mit integrierter Beleuchtung.
20701934;8894;Baar;Kellerstrasse 64;Orbea;Gain D30;CHF 3020.-;9 Gänge;122 km;46 cm;28 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
11384380;8133;Bern;Kellerstrasse 94;Cannondale;Synapse Carbon 3;CHF 2770.-;22 Gänge;;52 cm;29 Zoll;0;Komfortables Endurance-Rennrad mit vibrationsdämpfendem Rahmen.
52727568;3632;Chur;Zieglerstrasse 140;Bulls;E-Stream EVO AM 4;CHF 4000.-;22 Gänge;125 km;48 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
12399752;4117;St. Gallen;Sonnenbergstrasse 138;Focus;Jam² 6.8;CHF 3100.-;11 Gänge;81 km;46 cm;29 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
14849836;8160;St. Gallen;Steinenvorstadt 110;Orbea;Gain D30;CHF 3640.-;22 Gänge;159 km;56 cm;27.5 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
97844964;4018;Basel;Steinenvorstadt 127;Haibike;Trekking 7;CHF 3560.-;11 Gänge;91 km;60 cm;28 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
36514048;9356;St. Gallen;Kellerstrasse 79;Focus;Jam² 6.8;CHF 3220.-;9 Gänge;104 km;59 cm;27.5 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
55695856;6572;Winterthur;Sonnenbergstrasse 85;Scott;Scale 940;CHF 2570.-;22 Gänge;;55 cm;27.5 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
58588649;1344;Winterthur;Weberstrasse 100;Orbea;Gain D30;CHF 3280.-;12 Gänge;131 km;52 cm;27.5 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
10963275;3557;Chur;Kellerstrasse 55;Focus;Jam² 6.8;CHF 4290.-;22 Gänge;103 km;48 cm;29 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
78757794;8314;Basel;Steinenvorstadt 92;Specialized;Turbo Vado 5.0;CHF 2680.-;9 Gänge;152 km;47 cm;28 Zoll;1;Leistungsstarkes E-Bike für Stadt und Tour mit integrierter Beleuchtung.
48842408;6669;Zürich;Weberstrasse 3;Giant;Explore E+ 2;CHF 2440.-;9 Gänge;145 km;46 cm;27.5 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
64045666;2597;Zürich;Kellerstrasse 114;Orbea;Gain D30;CHF 3180.-;9 Gänge;117 km;47 cm;27.5 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
13067777;3364;Aarau;Sonnenbergstrasse 75;Cannondale;Synapse Carbon 3;CHF 1460.-;22 Gänge;;57 cm;27.5 Zoll;0;Komfortables Endurance-Rennrad mit vibrationsdämpfendem Rahmen.
63895097;8688;Aarau;Kellerstrasse 73;Cannondale;Synapse Carbon 3;CHF 2650.-;22 Gänge;;53 cm;29 Zoll;0;Komfortables Endurance-Rennrad mit vibrationsdämpfendem Rahmen.
16494242;4450;Zürich;Sonnenbergstrasse 101;Specialized;Turbo Vado 5.0;CHF 3120.-;11 Gänge;86 km;55 cm;28 Zoll;1;Leistungsstarkes E-Bike für Stadt und Tour mit integrierter Beleuchtung.
21629867;4872;Chur;Steinenvorstadt 122;Giant;Explore E+ 2;CHF 2680.-;11 Gänge;109 km;53 cm;28 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
79576494;3453;Luzern;Sonnenbergstrasse 25;Cube;Kathmandu Hybrid Pro;CHF 2490.-;12 Gänge;127 km;53 cm;27.5 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
50038390;8088;Zug;Kellerstrasse 150;Bulls;E-Stream EVO AM 4;CHF 3100.-;10 Gänge;157 km;52 cm;27.5 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
87909338;4605;Chur;Weberstrasse 86;Cube;Kathmandu Hybrid Pro;CHF 4320.-;22 Gänge;147 km;53 cm;27.5 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
66375075;8746;Winterthur;Steinenvorstadt 131;Giant;Explore E+ 2;CHF 2740.-;11 Gänge;95 km;59 cm;28 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
72685570;7986;Baar;Zieglerstrasse 118;Haibike;Trekking 7;CHF 4440.-;22 Gänge;95 km;57 cm;29 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
97483787;3869;Luzern;Sonnenbergstrasse 64;Cannondale;Synapse Carbon 3;CHF 2420.-;9 Gänge;;60 cm;28 Zoll;0;Komfortables Endurance-Rennrad mit vibrationsdämpfendem Rahmen.
99600679;6868;Aarau;Weberstrasse 14;Specialized;Turbo Vado 5.0;CHF 4680.-;22 Gänge;118 km;58 cm;27.5 Zoll;1;Leistungsstarkes E-Bike für Stadt und Tour mit integrierter Beleuchtung.
74542681;9998;Bern;Zieglerstrasse 129;Scott;Scale 940;CHF 600.-;12 Gänge;;48 cm;27.5 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
72405263;9491;Winterthur;Zieglerstrasse 129;Haibike;Trekking 7;CHF 2740.-;12 Gänge;111 km;53 cm;28 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
23105194;8859;St. Gallen;Weberstrasse 146;Haibike;Trekking 7;CHF 2470.-;12 Gänge;148 km;52 cm;29 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
12960091;5287;Zug;Sonnenbergstrasse 102;Giant;Explore E+ 2;CHF 3430.-;10 Gänge;106 km;51 cm;28 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
66184968;6509;Baar;Kellerstrasse 6;Cannondale;Synapse Carbon 3;CHF 2360.-;9 Gänge;;52 cm;29 Zoll;0;Komfortables Endurance-Rennrad mit vibrationsdämpfendem Rahmen.
12451079;2663;Basel;Zieglerstrasse 121;Orbea;Gain D30;CHF 2840.-;10 Gänge;142 km;48 cm;28 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
84601780;1449;Baar;Steinenvorstadt 28;Focus;Jam² 6.8;CHF 2720.-;9 Gänge;109 km;55 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
27912050;7415;Zug;Steinenvorstadt 61;Orbea;Gain D30;CHF 4100.-;22 Gänge;83 km;56 cm;29 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
44012863;6031;Zürich;Zieglerstrasse 27;Cube;Kathmandu Hybrid Pro;CHF 2860.-;9 Gänge;94 km;48 cm;29 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
70453713;2117;Luzern;Zieglerstrasse 90;Giant;Explore E+ 2;CHF 4590.-;22 Gänge;160 km;50 cm;28 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
80043721;2414;Luzern;Kellerstrasse 126;Haibike;Trekking 7;CHF 3360.-;10 Gänge;120 km;46 cm;29 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
66983478;4159;Winterthur;Sonnenbergstrasse 88;Haibike;Trekking 7;CHF 3640.-;22 Gänge;99 km;54 cm;28 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
96765905;7707;Bern;Sonnenbergstrasse 72;Focus;Jam² 6.8;CHF 3910.-;22 Gänge;126 km;58 cm;27.5 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
67268091;1382;Aarau;Kellerstrasse 45;Trek;Domane SL 6;CHF 1760.-;22 Gänge;;55 cm;27.5 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
73283446;8767;Luzern;Sonnenbergstrasse 83;Cube;Kathmandu Hybrid Pro;CHF 3200.-;12 Gänge;139 km;48 cm;29 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
81748622;5523;Basel;Zieglerstrasse 137;Scott;Scale 940;CHF 600.-;11 Gänge;;50 cm;28 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
56128204;6852;Winterthur;Zieglerstrasse 150;Focus;Jam² 6.8;CHF 3820.-;9 Gänge;85 km;48 cm;27.5 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
57694615;1044;St. Gallen;Zieglerstrasse 133;Giant;Explore E+ 2;CHF 3710.-;22 Gänge;129 km;53 cm;29 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
97451680;3659;Zürich;Zieglerstrasse 18;Scott;Scale 940;CHF 1880.-;22 Gänge;;49 cm;27.5 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
48406323;9392;Winterthur;Weberstrasse 5;Haibike;Trekking 7;CHF 2970.-;12 Gänge;117 km;57 cm;29 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
28561863;4086;Winterthur;Sonnenbergstrasse 33;Bulls;E-Stream EVO AM 4;CHF 2420.-;10 Gänge;136 km;53 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
25893797;2930;Zürich;Sonnenbergstrasse 10;Trek;Domane SL 6;CHF 1410.-;9 Gänge;;51 cm;28 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
45339629;2320;Aarau;Weberstrasse 140;Focus;Jam² 6.8;CHF 3570.-;11 Gänge;133 km;50 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
35526987;2484;St. Gallen;Steinenvorstadt 42;Haibike;Trekking 7;CHF 2130.-;10 Gänge;83 km;55 cm;28 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
42960489;8553;Zug;Zieglerstrasse 66;Cube;Kathmandu Hybrid Pro;CHF 3280.-;12 Gänge;105 km;52 cm;28 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
17024492;1064;St. Gallen;Kellerstrasse 135;Trek;Domane SL 6;CHF 1640.-;11 Gänge;;56 cm;29 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
97084767;3968;Bern;Kellerstrasse 15;Scott;Scale 940;CHF 1630.-;9 Gänge;;51 cm;29 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
77606346;3991;Aarau;Zieglerstrasse 113;Orbea;Gain D30;CHF 2840.-;9 Gänge;135 km;55 cm;27.5 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
23370362;9615;St. Gallen;Zieglerstrasse 125;Specialized;Turbo Vado 5.0;CHF 2580.-;9 Gänge;123 km;57 cm;27.5 Zoll;1;Leistungsstarkes E-Bike für Stadt und Tour mit integrierter Beleuchtung.
68378550;2452;Bern;Kellerstrasse 83;Focus;Jam² 6.8;CHF 3870.-;10 Gänge;81 km;48 cm;29 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
12164582;7016;St. Gallen;Steinenvorstadt 118;Giant;Explore E+ 2;CHF 2630.-;12 Gänge;101 km;50 cm;27.5 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
90286702;9404;St. Gallen;Steinenvorstadt 13;Trek;Domane SL 6;CHF 1660.-;10 Gänge;;46 cm;28 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
81946688;9961;Zug;Steinenvorstadt 85;Cube;Kathmandu Hybrid Pro;CHF 3040.-;12 Gänge;125 km;57 cm;29 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
43722470;2106;Zürich;Steinenvorstadt 147;Bulls;E-Stream EVO AM 4;CHF 3280.-;10 Gänge;147 km;58 cm;29 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
31169993;4752;Basel;Steinenvorstadt 16;Cube;Kathmandu Hybrid Pro;CHF 3240.-;12 Gänge;160 km;52 cm;28 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
29569226;9103;Winterthur;Zieglerstrasse 102;Orbea;Gain D30;CHF 2250.-;11 Gänge;108 km;46 cm;28 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
39693777;1568;Bern;Steinenvorstadt 14;Orbea;Gain D30;CHF 2130.-;9 Gänge;94 km;56 cm;28 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
68904482;7529;Aarau;Weberstrasse 73;Orbea;Gain D30;CHF 2970.-;12 Gänge;115 km;46 cm;29 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
67852808;7614;Aarau;Kellerstrasse 49;Scott;Scale 940;CHF 1460.-;10 Gänge;;46 cm;28 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
64504931;5427;Chur;Steinenvorstadt 97;Trek;Domane SL 6;CHF 780.-;9 Gänge;;46 cm;27.5 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
43976635;5483;Chur;Kellerstrasse 25;Giant;Explore E+ 2;CHF 2550.-;12 Gänge;106 km;48 cm;29 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
64302224;6468;Baar;Sonnenbergstrasse 81;Cube;Kathmandu Hybrid Pro;CHF 3170.-;22 Gänge;118 km;56 cm;28 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
35005138;9661;Baar;Sonnenbergstrasse 80;Trek;Domane SL 6;CHF 1660.-;10 Gänge;;52 cm;28 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
71409926;8327;Winterthur;Zieglerstrasse 47;Scott;Scale 940;CHF 2220.-;12 Gänge;;60 cm;28 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
19356812;2805;Zürich;Sonnenbergstrasse 129;Bulls;E-Stream EVO AM 4;CHF 3710.-;10 Gänge;108 km;57 cm;27.5 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
64642066;4408;Chur;Kellerstrasse 31;Bulls;E-Stream EVO AM 4;CHF 4330.-;9 Gänge;149 km;51 cm;27.5 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
94567475;7305;Luzern;Weberstrasse 108;Giant;Explore E+ 2;CHF 4140.-;22 Gänge;125 km;57 cm;28 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
73435631;1118;Winterthur;Zieglerstrasse 29;Cube;Kathmandu Hybrid Pro;CHF 3250.-;12 Gänge;121 km;53 cm;29 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
94133955;7383;Zug;Sonnenbergstrasse 44;Cube;Kathmandu Hybrid Pro;CHF 2830.-;10 Gänge;120 km;60 cm;27.5 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
93351185;3458;Winterthur;Steinenvorstadt 40;Focus;Jam² 6.8;CHF 2630.-;9 Gänge;143 km;58 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
91049531;3991;Zug;Steinenvorstadt 118;Cannondale;Synapse Carbon 3;CHF 2060.-;9 Gänge;;54 cm;29 Zoll;0;Komfortables Endurance-Rennrad mit vibrationsdämpfendem Rahmen.
84811146;5867;Basel;Weberstrasse 66;Trek;Domane SL 6;CHF 1380.-;9 Gänge;;52 cm;28 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
27087049;7512;Zug;Steinenvorstadt 128;Haibike;Trekking 7;CHF 2560.-;10 Gänge;85 km;59 cm;28 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
78234291;6109;Basel;Weberstrasse 59;Specialized;Turbo Vado 5.0;CHF 3660.-;22 Gänge;153 km;54 cm;29 Zoll;1;Leistungsstarkes E-Bike für Stadt und Tour mit integrierter Beleuchtung.
64604520;4225;Chur;Weberstrasse 68;Haibike;Trekking 7;CHF 3390.-;22 Gänge;150 km;48 cm;29 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
30541811;2742;Chur;Sonnenbergstrasse 22;Bulls;E-Stream EVO AM 4;CHF 3210.-;9 Gänge;127 km;47 cm;28 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
84150709;8497;St. Gallen;Steinenvorstadt 21;Orbea;Gain D30;CHF 3000.-;12 Gänge;85 km;51 cm;27.5 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
76989461;8827;Zürich;Sonnenbergstrasse 28;Trek;Domane SL 6;CHF 1240.-;9 Gänge;;58 cm;29 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
